,id_hecho,fecha,año,mes,dia,rol,victima,sexo,edad,fecha_fallecimiento
357,2018-0073,2018-07-11,2018,7,11,PEATON,PEATON,FEMENINO,67,2018-07-11
358,2018-0074,2018-07-14,2018,7,14,CONDUCTOR,AUTO,MASCULINO,25,2018-07-14
359,2018-0075,2018-07-15,2018,7,15,PEATON,PEATON,MASCULINO,23,2018-07-15
360,2018-0076,2018-07-16,2018,7,16,CONDUCTOR,AUTO,MASCULINO,73,2018-07-16
361,2018-0077,2018-07-16,2018,7,16,CONDUCTOR,AUTO,MASCULINO,58,2018-07-17
362,2018-0078,2018-07-21,2018,7,21,PEATON,PEATON,MASCULINO,27,2018-07-21
363,2018-0079,2018-07-23,2018,7,23,PEATON,PEATON,MASCULINO,0,2018-07-23
364,2018-0080,2018-07-25,2018,7,25,PEATON,PEATON,MASCULINO,26,2018-07-25
365,2018-0081,2018-07-29,2018,7,29,PEATON,PEATON,MASCULINO,35,2018-07-29
366,2018-0082,2018-08-01,2018,8,1,CONDUCTOR,MOTO,FEMENINO,17,2018-08-01
367,2018-0083,2018-08-02,2018,8,2,CONDUCTOR,MOTO,MASCULINO,0,2018-08-02
368,2018-0084,2018-08-03,2018,8,3,PEATON,PEATON,MASCULINO,45,2018-08-03
369,2018-0085,2018-08-03,2018,8,3,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22,2018-08-03
370,2018-0085,2018-08-03,2018,8,3,CONDUCTOR,MOTO,MASCULINO,30,2018-08-03
371,2018-0086,2018-08-10,2018,8,10,PEATON,PEATON,MASCULINO,40,2018-08-10
372,2018-0087,2018-08-15,2018,8,15,PEATON,PEATON,MASCULINO,75,2018-08-20
373,2018-0088,2018-08-17,2018,8,17,CONDUCTOR,MOTO,MASCULINO,0,2018-08-17
374,2018-0089,2018-08-17,2018,8,17,PEATON,PEATON,MASCULINO,80,2018-08-17
375,2018-0090,2018-08-18,2018,8,18,CONDUCTOR,MOTO,MASCULINO,27,2018-08-18
376,2018-0091,2018-08-19,2018,8,19,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23,2018-08-19
377,2018-0092,2018-08-20,2018,8,20,CONDUCTOR,MOTO,MASCULINO,23,2018-08-20
